sorting_criteria,post_ID,designer,design_team,view_count,save_count,like_count,comment_count,tags
following,27245208,squaresoulagency,,,21,21,15,"['playing 11', 'gaming club', 'school basketball', 'basket ball tournament', 'hoops', 'basketball club website', 'web design', 'website design', 'club website', 'basket ball club', 'club', 'game', 'play', 'basket ball']"
following,27244825,fireart-uiux,Fireart-d,,2,24,7,"['modern', 'stylish', 'typography', 'composition', 'layout', 'studio', 'agency', 'branding', 'landing', 'page', 'web', 'clean', 'fireart', 'ux', 'ui']"
following,27244788,dmitrymoi,,"1,303",1,7,1,"['artemis', '2dart', 'astronaut', 'space', 'moon', 'character', 'art', 'illustration']"
following,27219218,oliviafayeco,,981,0,5,0,"['vet', 'dog breed', 'pet', 'dog portrait', 'dog', 'illustrator', 'procreate', 'hand drawn', 'design', 'illustration']"
following,27244499,OlexandrBYSHIVA,,"1,934",1,40,3,"['bold', 'minimalism', 'night', 'temple', 'chinese', 'china', 'landing', 'uidesign', 'webdesign', '3d', 'animation', 'ui']"
following,27244268,rokasaleliunas,,"1,529",0,5,0,"['graphic illustration', 'graphic design', 'sticker illustration', 'cover illustration', 'cover', 'editorial illustration', 'editorial', 'sticker', 'vector illustration', 'vector', 'horse illustration', 'horse', 'bo jack', 'design', 'illustration']"
following,27244260,rokasaleliunas,,"1,308",0,4,0,"['branding illustration', 'blog illustration', 'commercial illustration', 'editorial', 'editorial illustration', 'vector illustration', 'abstrct vector', 'suit', 'man illustration', 'man portrait', 'abstract portrait', 'design', 'lines', 'poster', 'laconic', 'illustration', 'composition', 'abstract', 'minimal']"
following,27243370,Nixtio,,"13,586",50,187,45,"['real estate design', 'interface design', 'premium design', 'product design', 'digital design', 'minimal design', 'design inspiration', 'creative design', 'web ui', 'modern design', 'ui ux design', 'property', 'luxury design', 'architecture', 'landing page', 'ui ux', 'website ui', 'real estate', 'web design']"
following,27243781,UIX-Maruf,,,38,78,51,"['business app', 'mobile', 'money management', 'web', 'app interface', 'investment club app', 'clean design', 'investment app', 'club app', 'mobile app design', 'wealth management', 'uxdesign', 'praivate mobile app', 'best ui', 'investor mobile app', 'portfollio tracker', 'investment', 'app concept', 'praivate investment', 'mobile app']"
following,27242855,purrwebui,,"7,599",1,149,39,"['android', 'ios', 'mobile app', 'finance app', 'app design', 'planing app', 'investment', 'assistant', 'chatbot', 'ai app', 'ai', 'fintech', 'finance', 'dashboard design', 'dashboard', 'mobile', 'app', 'design', 'ui', 'ux']"
following,27243514,xinyanart,,"4,267",0,15,5,"['nature', 'sustainable', 'organic', 'harvest', 'farm', 'travel', 'web', 'agriculture', 'environment', 'landscape illustration', 'illustration']"
following,27243406,Kirill_Soliar,solar-digital,"1,278",1,15,6,"['branding', 'web developement', 'property', 'real estate', 'ai platform', 'ai management', 'property investment', 'property analytics', 'real estate agent', 'property management', 'dashboard design', 'mobile app design', 'web design', 'real estate dashboard', 'property app', 'real estate app', 'ux design', 'ui design', 'real estate platform', 'real estate website']"
following,27243377,Ovcharka,,"6,516",15,55,4,"['design', 'visual identity', 'drink packaging', 'food branding', 'illustration', 'graphic design', 'retro design', 'packaging', 'brand identity', 'branding', 'beverage design', 'craft soda', 'soda label', 'label design', 'packaging design']"
following,27243283,AndriiKovalchuk,,"3,883",0,46,6,"['startup', 'saas logo', 'startup logo', 'animal logo', 'brandingdesigner', 'branddesigner', 'brand design', 'branding designer', 'brand designer', 'logo designer', 'logodesign', 'logo design', 'dog logo', 'dog', 'bulldog logo', 'bulldog', 'brand', 'branding', 'logotype', 'logo']"
following,27243205,theosm,,"10,956",8,73,25,"['figma', 'framer', 'landing page designer', 'dribbble', 'minimal', 'web', 'website', 'ux design', 'ui design', 'website design', 'landing page design', 'ui designer', 'animation', 'landing page', 'ux', 'ui', 'theosm', 'india', 'designer', 'design']"
following,27242322,emoteagency,,,11,61,20,"['fintech', 'analytics', 'app', 'mobile', 'application design', 'mobile first', 'clean ui', 'modern ui', 'data visualization', 'product design', 'finance app', 'ux design', 'ui design', 'mobile design', 'mobile app', 'saas', 'accounting app', 'fintech app', 'animation', 'ui']"
following,27239993,Skillinedesignco,,"4,768",1,34,0,"['badge', 'apparel', 'graphic design', 'branding', 'illustration', 'tournament design', 'sports identity', 'bold branding', 'graphic tee design', 'basketball merch', 'sports merch', 'team apparel', 'dynamic logo', 'bold typography', 'streetwear graphic', 'athletic branding', 'vintage basketball', 'retro sports', 'sports design', 'basketball graphic']"
following,27242284,Dtailstudio,,"1,640",0,4,0,"['product designer', 'saas designer', 'web design studio', 'top creative', 'dribbble select', 'top teams', 'best agencies', 'client reviews', 'brand identity', 'product design', 'designer', 'design studio', 'creative agency', 'design agency']"
following,27242277,OlexandrBYSHIVA,,,0,25,5,"['nft', 'smm', 'agency', 'mobile', 'poster', 'typography', 'bold', 'crypto', 'landing', 'uidesign', 'creativedesign', 'webdesign', 'ui']"
following,27242270,Dtailstudio,,887,0,8,3,"['scaleup', 'startup', 'admin', 'blockchain', 'data visualization', 'data visualisation', 'saas web design', 'ux', 'ui', 'illustration', 'animation', 'graphic design', 'kpis', 'kpi', 'dashboard', 'platform dashboard', 'platform', 'product design', 'product']"
following,27242215,Dtailstudio,,,1,11,0,"['fintech', 'kpis', 'kpi', 'dashboards', 'mobile app design', 'app design', 'saas web design', 'web design', 'saas', 'ai', 'product design', 'product']"
following,27242020,Dtailstudio,,"1,623",0,14,0,"['merch', 'collaterals', 'brand applications', 'pitch deck', 'sales deck', 'deck design', 'marketing materials', 'brand visuals', 'brand system', 'brand identity', 'branding', 'logotype', 'logo']"
following,27242127,squaresouluiux,squaresoulagency,,35,45,22,"['ux design', 'ui design', 'child gym', 'gym website', 'infant gym', 'web design', 'website design', 'kinder garten', 'kids website', 'gym', 'kid gym']"
following,27198660,Dtailstudio,,,0,10,0,"['animation', 'ui', 'motion graphics', 'mobile', 'app', 'kpi', 'platform', 'platform design', 'ai', 'redesign', 'dashboard', 'product design', 'web design', 'logo', 'branding', 'graphic design']"
following,27241811,fireart-uiux,Fireart-d,"12,124",3,59,15,"['gradient', 'blue', 'treat', 'medical', 'clinic', 'track', 'manage', 'pet', 'chart', 'design', 'app', 'clean', 'fireart', 'ux', 'ui']"
following,27241647,Kirill_Soliar,solar-digital,,1,21,7,"['home screen', 'startup design', 'ios app', 'app design', 'mobile app', 'mobile interface', 'ai management', 'property', 'real estate', 'ai investment', 'real estate app', 'property investment', 'property analytics', 'ai product', 'ai design', 'property management', 'real estate agent', 'ux design', 'ui design', 'mobile app design']"
following,27219215,oliviafayeco,,,0,9,1,"['type', 'mom', 'hand lettering', 'lettering', 'motherhood', 'illustrator', 'procreate', 'hand drawn', 'design', 'illustration']"
following,27241594,OlexandrBYSHIVA,,"4,530",2,60,13,"['minimalism', 'animation', 'e commerce', 'furniture', 'landing', 'uidesign', 'webdesign', 'ui']"
following,27218544,gradienta,,"14,963",41,169,37,"['modern dashboard', 'travel app ui', 'digital clock ui', 'minimal design', 'ui design', 'app inspiration', 'timezone dashboard', 'global time app', 'productivity app', 'mobile ux', 'ux design', 'modern app design', 'time tracking app', 'dashboard ui', 'clean interface', 'minimal ui', 'mobile ui design', 'time zone app', 'clock app design', 'world clock app']"
following,27240038,Nixtio,,,54,220,74,"['design system', 'interface design', 'modern design', 'ui inspiration', 'analytics', 'digital product', 'startup design', 'ios design', 'user interface', 'app design', 'product design', 'ux design', 'dashboard ui', 'mobile ui', 'finance app', 'banking app', 'ui ux design', 'app ui', 'fintech', 'mobile app design']"
following,27239735,UIX-Maruf,,"8,902",22,138,101,"['ai video generator', 'editing video', 'ai image generator', 'timeline editor', 'video creator app', 'content creation app', 'social media editing', 'web', 'video generator', 'smart ai video maker', 'generative ai', 'dark design', 'create stunning ai videos app', 'reels app', 'mobile app design', 'text to video ai mobile app', 'ai text to video', 'ai powered app', 'ai video app', 'mobile app']"
following,27240221,xinyanart,,,0,16,4,"['landscape illustration', 'environment', 'farm', 'healthy living', 'vegetables', 'sustainable', 'organic food', 'illustration']"
following,27240161,Gulshanmazher,,"7,487",1,5,0,"['feshion', 'figma', 'modern web design', 'ui', 'uiux', 'luxury website', 'web app', 'landing page', 'website', 'graphic design', 'ui design', 'web']"
following,27237019,NixtioBranding,Nixtio,"20,305",49,217,54,"['green brand', 'startup brand', 'sustainable design', 'ecobrand', 'modern logo', 'minimal logo', 'packaging', 'brand design', 'visual identity', 'logo', 'food brand', 'organic', 'agritech', 'agriculture', 'brand identity', 'logo design', 'branding']"
following,27239967,Skillinedesignco,,"4,105",2,36,1,"['retro typography', 'badge design', 'heritage branding', 'minimal illustration', 'golf merch', 'classic sports design', 'vintage logo', 'apparel graphic', 'logo badge', 'retro badge', 'golf illustration', 'vector', 'design', 'logo', 'badge', 'apparel', 'graphic design', 'branding', 'illustration', 'vintage golf']"
following,27232406,stan_h,Dtailstudio,"3,158",1,225,4,"['bento cards', 'redesign', 'tech', 'startup', 'product page', 'analytics', 'dark ui', 'modern design', 'interaction design', 'user interface', 'interface', 'website', 'web design', 'web app', 'dashboard', 'case study', 'product design', 'ux design', 'ui design', 'saas']"
